rank,name,series,kakera
1,Zero Two,DARLING in the FRANXX,1161
1,Hatsune Miku,VOCALOID,1132
3,Rem,Re:Zero kara Hajimeru Isekai Seikatsu,1143
4,Rias Gremory,High School DxD,1099
5,Megumin,Kono Subarashii Sekai ni Shukufuku wo!,1120
6,Saber,Fate/stay night,1083
7,Mai Sakurajima,Seishun Buta Yarou,1039
8,Nami,One Piece,1094
9,Power,Chainsaw Man,1063
10,Satoru Gojo,Jujutsu Kaisen,1099
11,Albedo,Overlord,1013
12,Asuna,Sword Art Online,1068
13,2B,NieR: Automata,967
14,Makima,Chainsaw Man,1004
15,Mikasa Ackerman,Attack on Titan,1021
16,Nezuko Kamado,Kimetsu no Yaiba,1021
17,Nico Robin,One Piece,975
18,Miku Nakano,5-toubun no Hanayome,963
19,Kirby,Kirby's Dream Land,859
20,Violet Evergarden,Violet Evergarden,930
21,Emilia,Re:Zero kara Hajimeru Isekai Seikatsu,956
22,Hange Zoë,Attack on Titan,803
23,Aqua,Kono Subarashii Sekai ni Shukufuku wo!,956
24,Shinobu Kochou,Kimetsu no Yaiba,920
25,Akame,Akame ga Kill!,920
26,Marin Kitagawa,Sono Bisque Doll wa Koi wo Suru,853
27,Monkey D. Luffy,One Piece,996
28,Ram,Re:Zero kara Hajimeru Isekai Seikatsu,963
29,Nino Nakano,5-toubun no Hanayome,837
30,Rin Tohsaka,Fate/stay night,923
31,Yumeko Jabami,Kakegurui,877
32,Esdeath,Akame ga Kill!,884
33,Himiko Toga,Boku no Hero Academia,865
34,Akeno Himejima,High School DxD,826
35,Kaguya Shinomiya,Kaguya-sama wa Kokurasetai,813
36,Yor Forger,SPY×FAMILY,872
37,Chika Fujiwara,Kaguya-sama wa Kokurasetai,826
38,Roronoa Zoro,One Piece,920
39,Frieren,Sousou no Frieren,779
40,Kurumi Tokisaki,Date A Live,779
41,Rei Ayanami,Neon Genesis Evangelion,765
42,Asuka Langley Souryuu,Neon Genesis Evangelion,692
43,Erza Scarlet,Fairy Tail,786
44,Hinata Hyuuga,Naruto,820
45,Nobara Kugisaki,Jujutsu Kaisen,752
46,Mitsuri Kanroji,Kimetsu no Yaiba,741
47,Bongo Cat,Internet Cats,650
48,Komi Shouko,"Komi-san wa, Comyushou desu.",727
49,Levi,Attack on Titan,871
50,Yamato,One Piece,589
51,Sukuna,Jujutsu Kaisen,848
